,NPA_CL,EVT_STAT_CD,EVT_CL_CD,HPPN_X,HPPN_Y
311,19,10,401,127.21665859,36.21691346
1338,19,10,401,127.143794,36.293962
1477,13,10,401,127.24842,36.283218
1679,19,10,401,127.24842,36.283218
2346,19,10,401,127.23915832,36.28881326
2582,19,10,401,127.24315,36.28769
3466,19,10,401,127.216336,36.158709
3580,19,10,401,127.19576737,36.20850669
6491,19,10,401,127.242527,36.287251
6583,13,10,401,127.32357926,36.29882136
6619,19,10,401,127.28550241,36.26123537
6833,13,10,401,127.32412495,36.2988752
7971,19,10,401,127.237249,36.282779
8175,19,10,401,127.24771,36.26957
8503,19,10,401,127.270525,36.210482
11899,13,10,401,127.31580725,36.29930716
11900,13,10,401,127.31510696,36.29948283
12311,19,10,401,127.146134,36.224647
12406,13,10,401,127.325625,36.296904
13037,19,10,401,127.1908333,36.2205556
14655,19,10,401,127.246614,36.183107
16159,19,10,401,127.218363,36.210537
16525,19,10,401,127.241666,36.288473
16659,19,10,401,127.218335,36.215675
18372,13,10,401,127.307993,36.282557
19241,13,10,401,127.323631,36.298805
19745,13,10,401,127.323714,36.299333
21607,19,10,401,127.202725,36.123136
22056,13,10,401,127.32313887,36.29952346
26723,13,10,401,127.30401477,36.28147122
26751,13,10,401,127.28952873,36.26744576
26949,13,10,401,127.2983967,36.27957112
27473,19,10,401,127.24363,36.28779
29475,19,10,401,127.173189,36.191622
29777,19,10,401,127.141119,36.295555
30332,13,10,401,127.323081,36.295898
31002,19,10,401,127.237472,36.280612
31973,19,10,401,127.160868,36.212925
32458,19,10,401,127.280356,36.255017
33672,19,10,401,127.252109,36.273141
35405,13,10,401,127.318749,36.2993
36138,19,10,401,127.246678,36.282552
36545,13,10,401,127.31085089,36.28514316
38703,19,10,401,127.23562723,36.27379938
38752,19,10,401,127.227254,36.221626
39206,19,10,401,127.216015,36.13295
40200,13,10,401,127.325485,36.296978
40712,19,10,401,127.251846,36.276863
46754,19,10,401,127.14956732,36.13798924
47285,19,10,401,127.279497,36.248505
47566,19,10,401,127.255699,36.275212
50977,19,10,401,127.31722222,36.29111111
51020,19,10,401,127.157233,36.212273
